Temps,Deformation
0.000001,10.0000001
1.000001,10.09876045
2.000001,10.1950824
3.000001,10.28902615
4.000001,10.38065042
5.000001,10.47001248
6.000001,10.55716818
7.000001,10.642172
8.000001,10.72507707
9.000001,10.8059352
10.000001,10.88479695
11.000001,10.96171158
12.000001,11.03672719
13.000001,11.10989066
14.000001,11.18124771
15.000001,11.25084295
16.000001,11.31871988
17.000001,11.38492092
18.000001,11.44948746
19.000001,11.51245984
20.000001,11.57387742
21.000001,11.6337786
22.000001,11.69220082
23.000001,11.74918058
24.000001,11.80475351
25.000001,11.85895434
26.000001,11.91181695
27.000001,11.96337437
28.000001,12.01365883
29.000001,12.06270177
30.000001,12.11053384
31.000001,12.15718492
32.000001,12.20268419
33.000001,12.24706007
34.000001,12.29034031
35.000001,12.33255196
36.000001,12.3737214
37.000001,12.41387436
38.000001,12.45303594
39.000001,12.49123062
40.000001,12.52848227
41.000001,12.56481417
42.000001,12.60024904
43.000001,12.63480901
44.000001,12.6685157
45.000001,12.70139016
46.000001,12.73345295
47.000001,12.76472411
48.000001,12.79522318
49.000001,12.82496923
50.000001,12.85398084
51.000001,12.88227616
52.000001,12.90987286
53.000001,12.93678819
54.000001,12.96303898
55.000001,12.98864164
56.000001,13.01361217
57.000001,13.03796617
58.000001,13.06171887
59.000001,13.08488511
60.000001,13.10747938
61.000001,13.12951579
62.000001,13.15100813
63.000001,13.17196981
64.000001,13.19241395
65.000001,13.21235332
66.000001,13.23180038
67.000001,13.2507673
68.000001,13.26926592
69.000001,13.28730781
70.000001,13.30490424
71.000001,13.32206622
72.000001,13.33880446
73.000001,13.35512944
74.000001,13.37105135
75.000001,13.38658015
76.000001,13.40172554
77.000001,13.41649699
78.000001,13.43090373
79.000001,13.44495476
80.000001,13.45865888
81.000001,13.47202464
82.000001,13.4850604
83.000001,13.4977743
84.000001,13.5101743
85.000001,13.52226814
86.000001,13.53406338
87.000001,13.5455674
88.000001,13.55678738
89.000001,13.56773034
90.000001,13.57840311
91.000001,13.58881238
92.000001,13.59896464
93.000001,13.60886623
94.000001,13.61852336
95.000001,13.62794205
96.000001,13.6371282
97.000001,13.64608753
98.000001,13.65482566
99.000001,13.66334805
100.000001,3.671659914
101.000001,3.581006307
102.000001,3.492590947
103.000001,3.406358569
104.000001,3.322255276
105.000001,3.240228501
106.000001,3.160226974
107.000001,3.082200692
108.000001,3.006100886
109.000001,2.931879991
110.000001,2.859491616
111.000001,2.788890516
112.000001,2.720032564
113.000001,2.652874721
114.000001,2.587375011
115.000001,2.523492494
116.000001,2.461187242
117.000001,2.400420313
118.000001,2.341153724
119.000001,2.283350433
120.000001,2.22697431
121.000001,2.171990118
122.000001,2.118363491
123.000001,2.06606091
124.000001,2.015049684
125.000001,1.96529793
126.000001,1.916774552
127.000001,1.869449219
128.000001,1.823292354
129.000001,1.778275105
130.000001,1.734369336
131.000001,1.691547605
132.000001,1.649783146
133.000001,1.609049855
134.000001,1.569322272
135.000001,1.530575567
136.000001,1.492785522
137.000001,1.455928516
138.000001,1.419981513
139.000001,1.384922044
140.000001,1.350728197
141.000001,1.317378599
142.000001,1.284852406
143.000001,1.253129287
144.000001,1.222189414
145.000001,1.19201345
146.000001,1.162582533
147.000001,1.133878268
148.000001,1.105882714
149.000001,1.078578373
150.000001,1.051948178
151.000001,1.025975485
152.000001,1.00064406
153.000001,0.9759380698
154.000001,0.951842073
155.000001,0.9283410085
156.000001,0.9054201873
157.000001,0.8830652833
158.000001,0.8612623237
159.000001,0.8399976812
160.000001,0.8192580646
161.000001,0.7990305109
162.000001,0.7793023773
163.000001,0.760061333
164.000001,0.7412953518
165.000001,0.7229927044
166.000001,0.7051419509
167.000001,0.6877319341
168.000001,0.6707517722
169.000001,0.6541908519
170.000001,0.6380388222
171.000001,0.6222855876
172.000001,0.6069213017
173.000001,0.5919363613
174.000001,0.5773214005
175.000001,0.5630672843
176.000001,0.5491651035
177.000001,0.5356061688
178.000001,0.5223820054
179.000001,0.5094843477
180.000001,0.4969051344
181.000001,0.4846365029
182.000001,0.472670785
183.000001,0.4610005017
184.000001,0.4496183588
185.000001,0.438517242
186.000001,0.4276902127
187.000001,0.4171305037
188.000001,0.4068315149
189.000001,0.396786809
190.000001,0.3869901078
191.000001,0.377435288
192.000001,0.3681163775
193.000001,0.3590275517
194.000001,0.3501631299
195.000001,0.3415175714
196.000001,0.3330854725
197.000001,0.3248615629
198.000001,0.3168407024
199.000001,0.3090178775
200.000001,0.301388199
